,_id,food_name,Ingredients_used,Nutritional Information,Cooking Methods,Preparation Time,Aroma,Taste,Taste_food,Texture,Quality Ratings,Consumer Reviews,Storage Conditions,Packaging,Cuisine Type,Geographical Origin,Restaurant_name
11,64acf416e61d8c1a003efa7c,Rayalaseema Ragi Sangati,"Rice,Ragi powder,Water,salt",Calories:160 ,boil,20 minutes,Good,Spicy,Poor,"Chewy,Crispy",Good,moderate,"Temparature:160 degrees F,Humidity: 57.79%",Bad,Indian,Karnataka,Amma Mess
12,64acf416e61d8c1a003efa7d,Prawns Biryani,"Rice,Prawns,Garam Masala,Ghee",Calories:642 ,shallow-fried,40 minutes,Best,Yummy,Best,"savory,spiced",Best,Good,"Temparature:350 degree F,Humidity: 70%",Best,Indian,Mughals,Subbu Restaurant
13,64acf416e61d8c1a003efa7e,Idli,"Rice,Salt,Water,Black gram",Calories:58 ,steamed,10 minutes,Good,"savory,soft",Good,melt-in-our-mouth texture,Good,Good,"Temparature: 90 degree F,Humidity: 9.4%",Good,Indian,Tamil Nadu,Subbu Restaurant
14,64acf416e61d8c1a003efa7f,Puri,"Potato,Flour,salt",Calories:101 ,deep-fried,30 minutes,Best,"soft,savory",Best,crispy texture ,Good,moderate,"Temparature:375 degrees F,Humidity: 50%",Good,Indian,Indian subcontinent,Amma Mess
15,64acf416e61d8c1a003efa80,Vada,"Potato,Onions,Urad dal",Calories:97 ,deep-fried,20 minutes,Poor,"crispy,savory",Poor,crispy texture,Poor,Poor,"Temparature:365 degree F,Humidity: 55.6%",Good,Indian,South India,Amma Mess
16,64acf416e61d8c1a003efa81,Tandoori Chicken,"Chicken,yogurt,Tandoori Masala,Garlic",Calories:232 ,shallow-fried,40 minutes,Good,spicy,Good,spicy texture ,Poor,Good,"Temparature:165 degrees F ,Humidity: 15%",Poor,Punjabi,"Rajasthan,India",Subbu Restaurant
17,64acf416e61d8c1a003efa82,Butter Naan,"Flour,baking powder,wheat,curd,yeast",Calories:380 ,shallow-fried,10-15 minutes,Best,"sweet,gravy",Best,spicy texture ,Best,Good,"Temparature: 350 degrees F ,Humidity: 50%",Good,Indian,"East Asian,Southeast Asian",Subbu Restaurant
18,64acf416e61d8c1a003efa83,Chapathi,"Wheat,Flour,water,salt",Calories:104 ,fry,25 minutes,Good,"sweet,savory",Good,smooth in texture ,Good,Good,"Temparature: 162 degrees F ,Humidity: 30%",Bad,Indian,Indian Subcontinent ,Janaki Ram
19,64acf416e61d8c1a003efa84,Palak Paneer,"Paneer,Butter,Tomato,Spinach",Calories:470 ,boil,20 minutes,Good,"slight tangy taste,Bitter",Good,"gravy,fluid texture ",Poor,Good,"Temparature: 375 degrees F ,Humidity: 85%",Bad,Indian,"Punjab,India ",Punjabi Dhaba
20,64acf416e61d8c1a003efa85,Donut,"white sugar,eggs,Yeast",Calories:250 ,Bake,40 minutes,Good,subtle sweet,Best,"smooth, soft,tender texture ",Good,Best,"Temparature: 375 degrees F ,Humidity: 44.67%",Good,NewYork,"Middle Eastern,NewYorkCity ",The Loaded Spoon
